,Year,Category,Data Type,val
52494,1/1/2004,Food & Drinks,Inventories - Monthly Percent Change,-0.1
52496,1/1/2004,General Merch,Inventories - Monthly Percent Change,0.8
52497,1/1/2004,General Merch,Inventories - Monthly Percent Change,0.1
52800,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.4
52802,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.5
52803,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.3
52826,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.4
52827,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.5
52830,1/1/2005,Pharmacy,Sales - Monthly Percent Change,1.7
52839,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.2
52840,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.6
52848,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.3
52950,1/1/2005,Food & Drinks,Sales- Monthly,41691
52952,1/1/2005,Food & Drinks,Sales- Monthly,37628
52959,1/1/2005,Pharmacy,Sales- Monthly,14576
52990,1/1/2005,General Merch,Sales- Monthly,42556
52994,1/1/2005,General Merch,Sales- Monthly,18034
53014,1/1/2005,Food & Drinks,Sales- Monthly,32000
53033,1/1/2005,Food & Drinks,Inventories- Monthly,33606
53035,1/1/2005,General Merch,Inventories- Monthly,71343
53036,1/1/2005,General Merch,Inventories- Monthly,37364
53051,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.81
53053,1/1/2005,General Merch,Inventories/Sales Ratio,1.68
53054,1/1/2005,General Merch,Inventories/Sales Ratio,2.07
53089,1/1/2005,Food & Drinks,Sales- Monthly,41757
53091,1/1/2005,Food & Drinks,Sales- Monthly,37553
53098,1/1/2005,Pharmacy,Sales- Monthly,14698
53129,1/1/2005,General Merch,Sales- Monthly,43183
53133,1/1/2005,General Merch,Sales- Monthly,18173
53153,1/1/2005,Food & Drinks,Sales- Monthly,32469
53172,1/1/2005,Food & Drinks,Inventories- Monthly,33572
53174,1/1/2005,General Merch,Inventories- Monthly,71594
53175,1/1/2005,General Merch,Inventories- Monthly,37477
53190,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.8
53192,1/1/2005,General Merch,Inventories/Sales Ratio,1.66
53193,1/1/2005,General Merch,Inventories/Sales Ratio,2.06
53489,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,-0.1
53491,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.4
53492,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.3
53515,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.2
53516,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.2
53519,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.8
53528,1/1/2005,General Merch,Sales - Monthly Percent Change,1.5
53529,1/1/2005,General Merch,Sales - Monthly Percent Change,0.8
53537,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,1.5
53620,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.1
53621,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.2
53624,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.1
53633,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.5
53634,1/1/2005,General Merch,Sales - Monthly Percent Change,-2
53642,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.6
53744,1/1/2005,Food & Drinks,Sales- Monthly,41800
53746,1/1/2005,Food & Drinks,Sales- Monthly,37645
53753,1/1/2005,Pharmacy,Sales- Monthly,14708
53784,1/1/2005,General Merch,Sales- Monthly,42949
53788,1/1/2005,General Merch,Sales- Monthly,17818
53808,1/1/2005,Food & Drinks,Sales- Monthly,32273
53827,1/1/2005,Food & Drinks,Inventories- Monthly,33529
53829,1/1/2005,General Merch,Inventories- Monthly,73032
53830,1/1/2005,General Merch,Inventories- Monthly,38641
53845,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.8
53847,1/1/2005,General Merch,Inventories/Sales Ratio,1.7
53848,1/1/2005,General Merch,Inventories/Sales Ratio,2.17
54144,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,-0.1
54146,1/1/2005,General Merch,Inventories - Monthly Percent Change,2
54147,1/1/2005,General Merch,Inventories - Monthly Percent Change,3.1
54450,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.2
54452,1/1/2005,General Merch,Inventories - Monthly Percent Change,0
54453,1/1/2005,General Merch,Inventories - Monthly Percent Change,-2
54476,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,1.2
54477,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,1.1
54480,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.7
54489,1/1/2005,General Merch,Sales - Monthly Percent Change,1.5
54490,1/1/2005,General Merch,Sales - Monthly Percent Change,1.9
54498,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,1.7
54600,1/1/2005,Food & Drinks,Sales- Monthly,42283
54602,1/1/2005,Food & Drinks,Sales- Monthly,38049
54609,1/1/2005,Pharmacy,Sales- Monthly,14805
54640,1/1/2005,General Merch,Sales- Monthly,43601
54644,1/1/2005,General Merch,Sales- Monthly,18153
54664,1/1/2005,Food & Drinks,Sales- Monthly,32823
54683,1/1/2005,Food & Drinks,Inventories- Monthly,33595
54685,1/1/2005,General Merch,Inventories- Monthly,73064
54686,1/1/2005,General Merch,Inventories- Monthly,37863
54701,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.79
54703,1/1/2005,General Merch,Inventories/Sales Ratio,1.68
54704,1/1/2005,General Merch,Inventories/Sales Ratio,2.09
54739,1/1/2005,Food & Drinks,Sales- Monthly,42081
54741,1/1/2005,Food & Drinks,Sales- Monthly,37908
54748,1/1/2005,Pharmacy,Sales- Monthly,14882
54779,1/1/2005,General Merch,Sales- Monthly,43423
54783,1/1/2005,General Merch,Sales- Monthly,17808
54803,1/1/2005,Food & Drinks,Sales- Monthly,32746
54822,1/1/2005,Food & Drinks,Inventories- Monthly,33607
54824,1/1/2005,General Merch,Inventories- Monthly,73290
54825,1/1/2005,General Merch,Inventories- Monthly,37666
54840,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.8
54842,1/1/2005,General Merch,Inventories/Sales Ratio,1.69
54843,1/1/2005,General Merch,Inventories/Sales Ratio,2.12
55139,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0
55141,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.3
55142,1/1/2005,General Merch,Inventories - Monthly Percent Change,-0.5
55165,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.5
55166,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.4
55169,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.5
55178,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.4
55179,1/1/2005,General Merch,Sales - Monthly Percent Change,-1.9
55187,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.2
55270,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.7
55271,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.6
55274,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.1
55283,1/1/2005,General Merch,Sales - Monthly Percent Change,2.1
55284,1/1/2005,General Merch,Sales - Monthly Percent Change,2.6
55292,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.8
55394,1/1/2005,Food & Drinks,Sales- Monthly,42363
55396,1/1/2005,Food & Drinks,Sales- Monthly,38143
55403,1/1/2005,Pharmacy,Sales- Monthly,14890
55434,1/1/2005,General Merch,Sales- Monthly,44354
55438,1/1/2005,General Merch,Sales- Monthly,18263
55458,1/1/2005,Food & Drinks,Sales- Monthly,33009
55477,1/1/2005,Food & Drinks,Inventories- Monthly,33631
55479,1/1/2005,General Merch,Inventories- Monthly,73395
55480,1/1/2005,General Merch,Inventories- Monthly,37874
55495,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.79
55497,1/1/2005,General Merch,Inventories/Sales Ratio,1.65
55498,1/1/2005,General Merch,Inventories/Sales Ratio,2.07
55794,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.1
55796,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.1
55797,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.6
56100,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,-0.4
56102,1/1/2005,General Merch,Inventories - Monthly Percent Change,-0.6
56103,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.1
56126,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.4
56127,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.5
56130,1/1/2005,Pharmacy,Sales - Monthly Percent Change,1.2
56139,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.8
56140,1/1/2005,General Merch,Sales - Monthly Percent Change,-2.2
56148,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.1
56250,1/1/2005,Food & Drinks,Sales- Monthly,42184
56252,1/1/2005,Food & Drinks,Sales- Monthly,37960
56259,1/1/2005,Pharmacy,Sales- Monthly,15074
56290,1/1/2005,General Merch,Sales- Monthly,44017
56294,1/1/2005,General Merch,Sales- Monthly,17858
56314,1/1/2005,Food & Drinks,Sales- Monthly,33056
56333,1/1/2005,Food & Drinks,Inventories- Monthly,33486
56335,1/1/2005,General Merch,Inventories- Monthly,72989
56336,1/1/2005,General Merch,Inventories- Monthly,37897
56351,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.79
56353,1/1/2005,General Merch,Inventories/Sales Ratio,1.66
56354,1/1/2005,General Merch,Inventories/Sales Ratio,2.12
56389,1/1/2005,Food & Drinks,Sales- Monthly,42542
56391,1/1/2005,Food & Drinks,Sales- Monthly,38320
56398,1/1/2005,Pharmacy,Sales- Monthly,14983
56429,1/1/2005,General Merch,Sales- Monthly,44214
56433,1/1/2005,General Merch,Sales- Monthly,17822
56453,1/1/2005,Food & Drinks,Sales- Monthly,33261
56472,1/1/2005,Food & Drinks,Inventories- Monthly,33565
56474,1/1/2005,General Merch,Inventories- Monthly,74042
56475,1/1/2005,General Merch,Inventories- Monthly,38070
56490,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.79
56492,1/1/2005,General Merch,Inventories/Sales Ratio,1.67
56493,1/1/2005,General Merch,Inventories/Sales Ratio,2.14
56789,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.2
56791,1/1/2005,General Merch,Inventories - Monthly Percent Change,1.4
56792,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.5
56815,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.8
56816,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.9
56819,1/1/2005,Pharmacy,Sales - Monthly Percent Change,-0.6
56828,1/1/2005,General Merch,Sales - Monthly Percent Change,0.4
56829,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.2
56837,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.6
56920,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.7
56921,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.7
56924,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.8
56933,1/1/2005,General Merch,Sales - Monthly Percent Change,0.7
56934,1/1/2005,General Merch,Sales - Monthly Percent Change,-1.5
56942,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.1
57044,1/1/2005,Food & Drinks,Sales- Monthly,42845
57046,1/1/2005,Food & Drinks,Sales- Monthly,38577
57053,1/1/2005,Pharmacy,Sales- Monthly,15098
57084,1/1/2005,General Merch,Sales- Monthly,44502
57088,1/1/2005,General Merch,Sales- Monthly,17557
57108,1/1/2005,Food & Drinks,Sales- Monthly,33283
57127,1/1/2005,Food & Drinks,Inventories- Monthly,33140
57129,1/1/2005,General Merch,Inventories- Monthly,73985
57130,1/1/2005,General Merch,Inventories- Monthly,37872
57145,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.77
57147,1/1/2005,General Merch,Inventories/Sales Ratio,1.66
57148,1/1/2005,General Merch,Inventories/Sales Ratio,2.16
57444,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,-1.3
57446,1/1/2005,General Merch,Inventories - Monthly Percent Change,-0.1
57447,1/1/2005,General Merch,Inventories - Monthly Percent Change,-0.5
57750,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.9
57752,1/1/2005,General Merch,Inventories - Monthly Percent Change,-0.7
57753,1/1/2005,General Merch,Inventories - Monthly Percent Change,-0.7
57776,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0
57777,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0
57780,1/1/2005,Pharmacy,Sales - Monthly Percent Change,-0.2
57789,1/1/2005,General Merch,Sales - Monthly Percent Change,1.7
57790,1/1/2005,General Merch,Sales - Monthly Percent Change,2.9
57798,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,1
57900,1/1/2005,Food & Drinks,Sales- Monthly,42842
57902,1/1/2005,Food & Drinks,Sales- Monthly,38559
57909,1/1/2005,Pharmacy,Sales- Monthly,15072
57940,1/1/2005,General Merch,Sales- Monthly,45267
57944,1/1/2005,General Merch,Sales- Monthly,18070
57964,1/1/2005,Food & Drinks,Sales- Monthly,33618
57983,1/1/2005,Food & Drinks,Inventories- Monthly,33453
57985,1/1/2005,General Merch,Inventories- Monthly,73432
57986,1/1/2005,General Merch,Inventories- Monthly,37599
58001,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.78
58003,1/1/2005,General Merch,Inventories/Sales Ratio,1.62
58004,1/1/2005,General Merch,Inventories/Sales Ratio,2.08
58039,1/1/2005,Food & Drinks,Sales- Monthly,42823
58041,1/1/2005,Food & Drinks,Sales- Monthly,38508
58048,1/1/2005,Pharmacy,Sales- Monthly,15173
58079,1/1/2005,General Merch,Sales- Monthly,45226
58083,1/1/2005,General Merch,Sales- Monthly,18048
58103,1/1/2005,Food & Drinks,Sales- Monthly,34022
58122,1/1/2005,Food & Drinks,Inventories- Monthly,33681
58124,1/1/2005,General Merch,Inventories- Monthly,73936
58125,1/1/2005,General Merch,Inventories- Monthly,37820
58140,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.79
58142,1/1/2005,General Merch,Inventories/Sales Ratio,1.63
58143,1/1/2005,General Merch,Inventories/Sales Ratio,2.1
58439,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.7
58441,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.7
58442,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.6
58465,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0
58466,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.1
58469,1/1/2005,Pharmacy,Sales - Monthly Percent Change,0.7
58478,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.1
58479,1/1/2005,General Merch,Sales - Monthly Percent Change,-0.1
58487,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,1.2
58570,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.9
58571,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,0.9
58574,1/1/2005,Pharmacy,Sales - Monthly Percent Change,1.6
58583,1/1/2005,General Merch,Sales - Monthly Percent Change,-1
58584,1/1/2005,General Merch,Sales - Monthly Percent Change,-1.6
58592,1/1/2005,Food & Drinks,Sales - Monthly Percent Change,-0.3
58694,1/1/2005,Food & Drinks,Sales- Monthly,43191
58696,1/1/2005,Food & Drinks,Sales- Monthly,38847
58703,1/1/2005,Pharmacy,Sales- Monthly,15422
58734,1/1/2005,General Merch,Sales- Monthly,44778
58738,1/1/2005,General Merch,Sales- Monthly,17765
58758,1/1/2005,Food & Drinks,Sales- Monthly,33932
58777,1/1/2005,Food & Drinks,Inventories- Monthly,33794
58779,1/1/2005,General Merch,Inventories- Monthly,74220
58780,1/1/2005,General Merch,Inventories- Monthly,38071
58795,1/1/2005,Food & Drinks,Inventories/Sales Ratio,0.78
58797,1/1/2005,General Merch,Inventories/Sales Ratio,1.66
58798,1/1/2005,General Merch,Inventories/Sales Ratio,2.14
59094,1/1/2005,Food & Drinks,Inventories - Monthly Percent Change,0.3
59096,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.4
59097,1/1/2005,General Merch,Inventories - Monthly Percent Change,0.7
59400,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.5
59402,1/1/2006,General Merch,Inventories - Monthly Percent Change,-0.7
59403,1/1/2006,General Merch,Inventories - Monthly Percent Change,-1.8
59426,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-1.2
59427,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-1.5
59430,1/1/2006,Pharmacy,Sales - Monthly Percent Change,-1.1
59439,1/1/2006,General Merch,Sales - Monthly Percent Change,2.1
59440,1/1/2006,General Merch,Sales - Monthly Percent Change,1.9
59448,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,3.1
59550,1/1/2006,Food & Drinks,Sales- Monthly,42681
59552,1/1/2006,Food & Drinks,Sales- Monthly,38254
59559,1/1/2006,Pharmacy,Sales- Monthly,15257
59590,1/1/2006,General Merch,Sales- Monthly,45710
59594,1/1/2006,General Merch,Sales- Monthly,18107
59614,1/1/2006,Food & Drinks,Sales- Monthly,34983
59633,1/1/2006,Food & Drinks,Inventories- Monthly,33978
59635,1/1/2006,General Merch,Inventories- Monthly,73717
59636,1/1/2006,General Merch,Inventories- Monthly,37394
59651,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.8
59653,1/1/2006,General Merch,Inventories/Sales Ratio,1.61
59654,1/1/2006,General Merch,Inventories/Sales Ratio,2.07
59689,1/1/2006,Food & Drinks,Sales- Monthly,43379
59691,1/1/2006,Food & Drinks,Sales- Monthly,38889
59698,1/1/2006,Pharmacy,Sales- Monthly,15405
59729,1/1/2006,General Merch,Sales- Monthly,45774
59733,1/1/2006,General Merch,Sales- Monthly,17981
59753,1/1/2006,Food & Drinks,Sales- Monthly,34535
59772,1/1/2006,Food & Drinks,Inventories- Monthly,34127
59774,1/1/2006,General Merch,Inventories- Monthly,72893
59775,1/1/2006,General Merch,Inventories- Monthly,36711
59790,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
59792,1/1/2006,General Merch,Inventories/Sales Ratio,1.59
59793,1/1/2006,General Merch,Inventories/Sales Ratio,2.04
60089,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.4
60091,1/1/2006,General Merch,Inventories - Monthly Percent Change,-1.1
60092,1/1/2006,General Merch,Inventories - Monthly Percent Change,-1.8
60115,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,1.6
60116,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,1.7
60119,1/1/2006,Pharmacy,Sales - Monthly Percent Change,1
60128,1/1/2006,General Merch,Sales - Monthly Percent Change,0.1
60129,1/1/2006,General Merch,Sales - Monthly Percent Change,-0.7
60137,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-1.3
60220,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-0.3
60221,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-0.1
60224,1/1/2006,Pharmacy,Sales - Monthly Percent Change,0.8
60233,1/1/2006,General Merch,Sales - Monthly Percent Change,-0.3
60234,1/1/2006,General Merch,Sales - Monthly Percent Change,-0.5
60242,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.8
60344,1/1/2006,Food & Drinks,Sales- Monthly,43233
60346,1/1/2006,Food & Drinks,Sales- Monthly,38866
60353,1/1/2006,Pharmacy,Sales- Monthly,15522
60384,1/1/2006,General Merch,Sales- Monthly,45635
60388,1/1/2006,General Merch,Sales- Monthly,17888
60408,1/1/2006,Food & Drinks,Sales- Monthly,34796
60427,1/1/2006,Food & Drinks,Inventories- Monthly,34176
60429,1/1/2006,General Merch,Inventories- Monthly,73337
60430,1/1/2006,General Merch,Inventories- Monthly,36820
60445,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
60447,1/1/2006,General Merch,Inventories/Sales Ratio,1.61
60448,1/1/2006,General Merch,Inventories/Sales Ratio,2.06
60744,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.1
60746,1/1/2006,General Merch,Inventories - Monthly Percent Change,0.6
60747,1/1/2006,General Merch,Inventories - Monthly Percent Change,0.3
61050,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.1
61052,1/1/2006,General Merch,Inventories - Monthly Percent Change,-1.9
61053,1/1/2006,General Merch,Inventories - Monthly Percent Change,-1.1
61076,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.1
61077,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.1
61080,1/1/2006,Pharmacy,Sales - Monthly Percent Change,0.9
61089,1/1/2006,General Merch,Sales - Monthly Percent Change,0.9
61090,1/1/2006,General Merch,Sales - Monthly Percent Change,0.2
61098,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.2
61200,1/1/2006,Food & Drinks,Sales- Monthly,43269
61202,1/1/2006,Food & Drinks,Sales- Monthly,38891
61209,1/1/2006,Pharmacy,Sales- Monthly,15664
61240,1/1/2006,General Merch,Sales- Monthly,46048
61244,1/1/2006,General Merch,Sales- Monthly,17932
61264,1/1/2006,Food & Drinks,Sales- Monthly,34862
61283,1/1/2006,Food & Drinks,Inventories- Monthly,34219
61285,1/1/2006,General Merch,Inventories- Monthly,71919
61286,1/1/2006,General Merch,Inventories- Monthly,36421
61301,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
61303,1/1/2006,General Merch,Inventories/Sales Ratio,1.56
61304,1/1/2006,General Merch,Inventories/Sales Ratio,2.03
61339,1/1/2006,Food & Drinks,Sales- Monthly,43654
61341,1/1/2006,Food & Drinks,Sales- Monthly,39242
61348,1/1/2006,Pharmacy,Sales- Monthly,15736
61379,1/1/2006,General Merch,Sales- Monthly,45806
61383,1/1/2006,General Merch,Sales- Monthly,17757
61403,1/1/2006,Food & Drinks,Sales- Monthly,34910
61422,1/1/2006,Food & Drinks,Inventories- Monthly,34428
61424,1/1/2006,General Merch,Inventories- Monthly,72520
61425,1/1/2006,General Merch,Inventories- Monthly,36227
61440,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
61442,1/1/2006,General Merch,Inventories/Sales Ratio,1.58
61443,1/1/2006,General Merch,Inventories/Sales Ratio,2.04
61739,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.6
61741,1/1/2006,General Merch,Inventories - Monthly Percent Change,0.8
61742,1/1/2006,General Merch,Inventories - Monthly Percent Change,-0.5
61765,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.9
61766,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.9
61769,1/1/2006,Pharmacy,Sales - Monthly Percent Change,0.5
61778,1/1/2006,General Merch,Sales - Monthly Percent Change,-0.5
61779,1/1/2006,General Merch,Sales - Monthly Percent Change,-1
61787,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.1
61870,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.3
61871,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.3
61874,1/1/2006,Pharmacy,Sales - Monthly Percent Change,1
61883,1/1/2006,General Merch,Sales - Monthly Percent Change,0.3
61884,1/1/2006,General Merch,Sales - Monthly Percent Change,0.5
61892,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-0.6
61994,1/1/2006,Food & Drinks,Sales- Monthly,43782
61996,1/1/2006,Food & Drinks,Sales- Monthly,39372
62003,1/1/2006,Pharmacy,Sales- Monthly,15895
62034,1/1/2006,General Merch,Sales- Monthly,45956
62038,1/1/2006,General Merch,Sales- Monthly,17847
62058,1/1/2006,Food & Drinks,Sales- Monthly,34695
62077,1/1/2006,Food & Drinks,Inventories- Monthly,34532
62079,1/1/2006,General Merch,Inventories- Monthly,72664
62080,1/1/2006,General Merch,Inventories- Monthly,35895
62095,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
62097,1/1/2006,General Merch,Inventories/Sales Ratio,1.58
62098,1/1/2006,General Merch,Inventories/Sales Ratio,2.01
62394,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.3
62396,1/1/2006,General Merch,Inventories - Monthly Percent Change,0.2
62397,1/1/2006,General Merch,Inventories - Monthly Percent Change,-0.9
62700,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.2
62702,1/1/2006,General Merch,Inventories - Monthly Percent Change,1.1
62703,1/1/2006,General Merch,Inventories - Monthly Percent Change,0.6
62726,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.1
62727,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.1
62730,1/1/2006,Pharmacy,Sales - Monthly Percent Change,0.6
62739,1/1/2006,General Merch,Sales - Monthly Percent Change,-0.3
62740,1/1/2006,General Merch,Sales - Monthly Percent Change,-1.5
62748,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.3
62850,1/1/2006,Food & Drinks,Sales- Monthly,43827
62852,1/1/2006,Food & Drinks,Sales- Monthly,39411
62859,1/1/2006,Pharmacy,Sales- Monthly,15985
62890,1/1/2006,General Merch,Sales- Monthly,45838
62894,1/1/2006,General Merch,Sales- Monthly,17584
62914,1/1/2006,Food & Drinks,Sales- Monthly,34802
62933,1/1/2006,Food & Drinks,Inventories- Monthly,34618
62935,1/1/2006,General Merch,Inventories- Monthly,73480
62936,1/1/2006,General Merch,Inventories- Monthly,36123
62951,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
62953,1/1/2006,General Merch,Inventories/Sales Ratio,1.6
62954,1/1/2006,General Merch,Inventories/Sales Ratio,2.05
62989,1/1/2006,Food & Drinks,Sales- Monthly,44160
62991,1/1/2006,Food & Drinks,Sales- Monthly,39705
62998,1/1/2006,Pharmacy,Sales- Monthly,16124
63029,1/1/2006,General Merch,Sales- Monthly,46043
63033,1/1/2006,General Merch,Sales- Monthly,17490
63053,1/1/2006,Food & Drinks,Sales- Monthly,35367
63072,1/1/2006,Food & Drinks,Inventories- Monthly,34693
63074,1/1/2006,General Merch,Inventories- Monthly,74302
63075,1/1/2006,General Merch,Inventories- Monthly,36471
63090,1/1/2006,Food & Drinks,Inventories/Sales Ratio,0.79
63092,1/1/2006,General Merch,Inventories/Sales Ratio,1.61
63093,1/1/2006,General Merch,Inventories/Sales Ratio,2.09
63389,1/1/2006,Food & Drinks,Inventories - Monthly Percent Change,0.2
63391,1/1/2006,General Merch,Inventories - Monthly Percent Change,1.1
63392,1/1/2006,General Merch,Inventories - Monthly Percent Change,1
63415,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.8
63416,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,0.7
63419,1/1/2006,Pharmacy,Sales - Monthly Percent Change,0.9
63428,1/1/2006,General Merch,Sales - Monthly Percent Change,0.4
63429,1/1/2006,General Merch,Sales - Monthly Percent Change,-0.5
63437,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,1.6
63520,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-0.7
63521,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,-0.9
63524,1/1/2006,Pharmacy,Sales - Monthly Percent Change,0.2
63533,1/1/2006,General Merch,Sales - Monthly Percent Change,1.5
63534,1/1/2006,General Merch,Sales - Monthly Percent Change,1.9
63542,1/1/2006,Food & Drinks,Sales - Monthly Percent Change,1
63644,1/1/2006,Food & Drinks,Sales- Monthly,43846
63646,1/1/2006,Food & Drinks,Sales- Monthly,39356
63653,1/1/2006,Pharmacy,Sales- Monthly,16162
63684,1/1/2006,General Merch,Sales- Monthly,46712
63688,1/1/2006,General Merch,Sales- Monthly,17826
63708,1/1/2006,Food & Drinks,Sales- Monthly,35725
